Data,Valor,Descrição,Id
,"−R$ 57,45","Pix enviado: IFOODCOM AGENCIA DE RESTAURANTES ONLINE SA
Instituição: BCO BRADESCO S.A.",9da56d95-2d26-45f9-8a22-fdfe60eb64a9 nan nan
,"−R$ 91,60","Pix enviado: IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.
Instituição: ZOOP MEIOS DE PAGAMENTO",8e5c90dc-085a-4a64-b021-3d2cd9294d29 nan nan
,"−R$ 62,99","Pix enviado: IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.
Instituição: ZOOP MEIOS DE PAGAMENTO",ca559518-7ec8-4b64-ab40-c6f4bf48757a nan nan
,"+R$ 54,99","Pix devolvido: IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.
Instituição: ZOOP TECNOLOGIA E MEIOS DE PAGAMENTO S.A. ",5194866947 nan nan
,"−R$ 54,99","Pix enviado: IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.
Instituição: ZOOP MEIOS DE PAGAMENTO",3c7e2735-b07b-47ea-8412-62c25ee339bb nan nan
,"−R$ 54,94","Pix enviado: IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.
Instituição: ZOOP MEIOS DE PAGAMENTO",75ffda9e-6192-4333-ad45-4224c4ea97ee nan nan
,"−R$ 27,83","Pix enviado: IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.
Instituição: ZOOP MEIOS DE PAGAMENTO",a4365e0c-8a68-452e-b083-09b8720dfd97 nan nan
,"R$ -55,98",Pagamento com QR Pix IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,nan 90460655136.0 nan
,"R$ -45,99",Pagamento com QR Pix IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,nan 90718466200.0 nan
,"R$ -77,04",Pagamento com QR Pix IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,nan 90655366707.0 nan
,"R$ -54,89",Pagamento com QR Pix IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,nan 91435818911.0 nan
,"R$ -65,89",Pagamento com QR Pix IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,nan 88048005476.0 nan
,"R$ -291,86",Pagamento com QR Pix IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,nan 88325178979.0 nan
,"R$ -49,98",Pagamento com QR Pix IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,nan 88513336349.0 nan
